humidity,temperature,rain,pressure,weather
74.94,28.98,0,1011,Cloudy
75.81,28.8,0,1014,Cloudy
76.62,28.79,0,1016,Cloudy
80.44,28.49,0,1016,Cloudy
77.38,28.45,0,1013,Cloudy
80.56,28.67,0,1015,Cloudy
74.38,29.49,0,1011,Cloudy
82.12,29.09,0,1012,Cloudy
81.75,29.21,0,1014,Cloudy
80.5,29.07,0,1012,Cloudy
83,27.96,0,1013,Cloudy
82.25,27.8,0,1011,Cloudy
82.88,27.99,0,1016,Cloudy
82.75,28.05,0,1016,Cloudy
81.25,28.39,0,1016,Cloudy
81.31,28.39,0,1015,Cloudy
81.19,28.06,0,1012,Cloudy
78.31,28.61,0,1010,Cloudy
79.81,28.55,0,1012,Cloudy
82.12,28.33,0,1013,Cloudy
82.06,28.38,0,1014,Cloudy
78.06,28.29,0,1016,Cloudy
79.56,28.25,0,1012,Cloudy
80.75,28.05,0,1014,Cloudy
76.44,28.15,0,1010,Cloudy
79.44,28.24,0,1013,Cloudy
83.12,28.28,0,1013,Cloudy
82.31,28.26,0,1016,Cloudy
82.69,28.19,0,1011,Cloudy
82.56,28.48,0,1015,Cloudy
84.88,28.26,0,1016,Cloudy
83.44,28.3,0,1013,Cloudy
81.06,28.73,0,1013,Cloudy
84.75,28.48,0,1015,Cloudy
85.69,28.45,0,1011,Cloudy
85.25,28.12,0,1010,Cloudy
81.75,27.14,1,1015,Rainy
82.38,27.76,0,1013,Cloudy
80.94,28.18,0,1014,Cloudy
84.62,28.18,0,1013,Cloudy
84.81,28.18,0,1016,Cloudy
80.81,28.46,0,1010,Cloudy
80.06,28.48,0,1014,Cloudy
80.94,28.58,0,1013,Cloudy
81,28.62,0,1012,Cloudy
82.75,28.4,0,1013,Cloudy
83.56,28.12,0,1011,Cloudy
81.94,28.24,0,1016,Cloudy
83.25,28.41,0,1016,Cloudy
84.62,28.47,0,1011,Cloudy
82.69,28.25,0,1014,Cloudy
82.44,28.11,0,1015,Cloudy
85.94,27.8,0,1016,Cloudy
82.12,27.16,1,1010,Rainy
78.56,28.05,0,1014,Cloudy
85.88,27.91,0,1015,Cloudy
83.31,28.01,0,1014,Cloudy
83.06,27.72,0,1010,Cloudy
84.25,27.73,0,1014,Cloudy
76.69,27.65,0,1016,Cloudy
80.06,27.05,1,1016,Rainy
84.62,26.67,1,1013,Rainy
83.12,27.23,1,1012,Rainy
83.19,26.83,1,1010,Rainy
87,26.6,1,1013,Rainy
89.56,27,1,1010,Rainy
89.44,26.78,1,1016,Rainy
89.12,26.76,1,1014,Rainy
87.81,26.87,1,1010,Rainy
85.06,27.22,1,1016,Rainy
83.12,27.51,0,1014,Cloudy
83.75,27.42,1,1012,Rainy
88.12,25.98,1,1015,Rainy
84,26.43,1,1015,Rainy
85.12,25.86,1,1014,Rainy
85.81,26.01,1,1014,Rainy
83,26.83,1,1015,Rainy
83.5,26.51,1,1012,Rainy
83.75,26.73,1,1015,Rainy
86.75,27.01,1,1014,Rainy
87.75,27.05,1,1013,Rainy
87.81,27.12,1,1013,Rainy
85.44,27.26,1,1011,Rainy
85.5,27.32,1,1010,Rainy
86.12,27.42,1,1013,Rainy
89.25,26.89,1,1012,Rainy
85.5,26.89,1,1015,Rainy
84.12,26.77,1,1015,Rainy
85.44,26.95,1,1014,Rainy
84.38,27.12,1,1010,Rainy
86.69,27.05,1,1013,Rainy
87,26.97,1,1010,Rainy
88,26.82,1,1015,Rainy
88.56,26.8,1,1011,Rainy
84.44,26.91,1,1015,Rainy
85.5,27.05,1,1011,Rainy
83.5,27.39,1,1014,Rainy
83,27.53,0,1011,Cloudy
85.62,27.17,1,1012,Rainy
85.88,27.12,1,1016,Rainy
87.19,27.08,1,1010,Rainy
90.75,26.87,1,1013,Rainy
88.62,26.86,1,1011,Rainy
88.69,26.65,1,1010,Rainy
88.38,26.6,1,1011,Rainy
88.44,26.65,1,1015,Rainy
83.94,27.14,1,1014,Rainy
85.5,26.93,1,1010,Rainy
85.44,26.61,1,1010,Rainy
82.94,26.8,1,1010,Rainy
84.94,26.98,1,1014,Rainy
85.31,27.13,1,1012,Rainy
85,27.28,1,1015,Rainy
85.75,27.19,1,1013,Rainy
84.75,26.99,1,1016,Rainy
84.69,26.58,1,1013,Rainy
84.06,26.8,1,1012,Rainy
84.19,27.01,1,1011,Rainy
85.06,26.69,1,1013,Rainy
85.44,26.17,1,1013,Rainy
86.19,26.29,1,1013,Rainy
83.69,26.85,1,1016,Rainy
85.5,26.44,1,1014,Rainy
86.69,26.07,1,1015,Rainy
85.31,25.89,1,1012,Rainy
81,26.51,1,1016,Rainy
84.06,26.6,1,1010,Rainy
83.5,26.72,1,1010,Rainy
85.62,26.53,1,1014,Rainy
85.44,26.73,1,1011,Rainy
83.88,27.02,1,1016,Rainy
87,26.65,1,1014,Rainy
87.19,26.48,1,1013,Rainy
87.81,26.25,1,1014,Rainy
83.81,26.65,1,1015,Rainy
84.31,26.76,1,1016,Rainy
83.75,27.03,1,1010,Rainy
87.12,26.37,1,1011,Rainy
87.12,26.39,1,1012,Rainy
86.25,26.73,1,1015,Rainy
88.06,26.98,1,1014,Rainy
88.12,26.65,1,1011,Rainy
83.44,26.8,1,1012,Rainy
80.88,27.22,1,1016,Rainy
86.25,26.84,1,1013,Rainy
86.31,26.77,1,1011,Rainy
84.62,26.7,1,1014,Rainy
81.44,26.6,1,1015,Rainy
82.75,26.38,1,1011,Rainy
83.88,26.76,1,1010,Rainy
86.12,26.58,1,1015,Rainy
88.38,26.66,1,1013,Rainy
87,26.72,1,1010,Rainy
89.25,26.44,1,1015,Rainy
86.62,27.09,1,1015,Rainy
85.69,27.26,1,1011,Rainy
82,27.48,1,1014,Rainy
82.38,27.33,1,1015,Rainy
81.75,27.32,1,1010,Rainy
79.44,27.67,0,1013,Cloudy
81.38,27.31,1,1013,Rainy
78.88,27.58,0,1012,Cloudy
79.88,27.45,1,1011,Rainy
81,27.16,1,1010,Rainy
84.06,27.15,1,1015,Rainy
83.69,27.18,1,1014,Rainy
83,27.23,1,1013,Rainy
83.62,27.55,0,1011,Cloudy
80.19,27.65,0,1014,Cloudy
78.31,27.62,0,1012,Cloudy
80.25,27.48,1,1011,Rainy
79.5,27.4,1,1010,Rainy
77.38,27.72,0,1015,Cloudy
73.69,28.24,0,1010,Cloudy
77.38,28.01,0,1011,Cloudy
83.31,27.86,0,1014,Cloudy
84.5,27.98,0,1015,Cloudy
78.25,28.2,0,1016,Cloudy
78.5,27.87,0,1013,Cloudy
82.88,27.73,0,1016,Cloudy
85.38,27.6,0,1013,Cloudy
85.12,27.32,1,1015,Rainy
80.06,28.05,0,1015,Cloudy
84.5,27.05,1,1016,Rainy
82.5,26.9,1,1016,Rainy
86.5,26.26,1,1011,Rainy
77.62,27.78,0,1014,Cloudy
80.19,27.69,0,1013,Cloudy
83.31,26.4,1,1016,Rainy
82.38,26.94,1,1014,Rainy
83.5,27.34,1,1016,Rainy
77.62,27.9,0,1015,Cloudy
76,28.11,0,1011,Cloudy
73.94,28.48,0,1010,Cloudy
79.31,27.99,0,1015,Cloudy
80.38,27.74,0,1016,Cloudy
83.44,27.2,1,1016,Rainy
82.88,26.52,1,1015,Rainy
77.12,27.33,1,1014,Rainy
80.12,27.44,1,1012,Rainy
85.94,26.82,1,1016,Rainy
79.44,27.58,0,1013,Cloudy
75.69,27.75,0,1016,Cloudy
74,27.42,1,1010,Rainy
71.38,27.5,0,1012,Cloudy
72.25,27.8,0,1015,Cloudy
79.69,27.26,1,1012,Rainy
88.62,25.94,1,1012,Rainy
84.31,26.98,1,1010,Rainy
79.56,27.81,0,1010,Cloudy
78.25,28.06,0,1010,Cloudy
81.69,27.48,1,1015,Rainy
77.56,27.9,0,1010,Cloudy
74.81,27.81,0,1010,Cloudy
68.06,28.19,0,1015,Cloudy
66.25,28.23,0,1013,Cloudy
65.94,28.24,0,1010,Cloudy
68.56,28.02,0,1013,Cloudy
67.62,28.11,0,1011,Cloudy
66.5,28.44,0,1012,Cloudy
66.94,28.64,0,1014,Cloudy
75.75,28.4,0,1015,Cloudy
80.12,28.32,0,1015,Cloudy
87.62,27.33,1,1011,Rainy
75.06,28.35,0,1010,Cloudy
69.69,28.68,0,1016,Cloudy
67.75,28.94,0,1012,Cloudy
68.88,28.83,0,1014,Cloudy
68.5,28.42,0,1013,Cloudy
68.56,27.82,0,1011,Cloudy
66.44,27.97,0,1011,Cloudy
66.69,27.99,0,1014,Cloudy
66.75,28.15,0,1013,Cloudy
79.44,26.71,1,1013,Rainy
70.06,28.54,0,1010,Cloudy
71.56,28.91,0,1011,Cloudy
69.5,29.05,0,1013,Cloudy
66.62,28.72,0,1013,Cloudy
70.44,28.43,0,1016,Cloudy
62.88,28.45,0,1010,Cloudy
65.44,27.94,0,1013,Cloudy
69.75,28.09,0,1012,Cloudy
70.19,28.06,0,1010,Cloudy
68.88,28.06,0,1010,Cloudy
57.94,28.32,0,1014,Cloudy
62.88,27.97,0,1010,Cloudy
62.94,27.69,0,1014,Cloudy
65.19,28.01,0,1016,Cloudy
69,27.96,0,1010,Cloudy
70.62,28.64,0,1016,Cloudy
70.81,28.77,0,1012,Cloudy
65.5,28.41,0,1013,Cloudy
62.56,28.55,0,1016,Cloudy
64,28.14,0,1014,Cloudy
67,28.62,0,1015,Cloudy
67.88,28.37,0,1015,Cloudy
76.31,27.18,1,1012,Rainy
76.31,27.74,0,1015,Cloudy
78.06,27.9,0,1011,Cloudy
78.31,28.14,0,1011,Cloudy
75.12,28.39,0,1011,Cloudy
71.69,28.36,0,1016,Cloudy
75.31,28.24,0,1015,Cloudy
70.69,28.53,0,1010,Cloudy
75.75,28.26,0,1013,Cloudy
73.75,28.58,0,1014,Cloudy
74.88,28.14,0,1014,Cloudy
75.62,28.17,0,1015,Cloudy
76.94,27.87,0,1014,Cloudy
75.88,27.76,0,1015,Cloudy
69.19,28.51,0,1012,Cloudy
68.06,28.66,0,1015,Cloudy
67.25,28.27,0,1010,Cloudy
67.94,28.33,0,1010,Cloudy
68.38,27.8,0,1016,Cloudy
61.5,27.87,0,1015,Cloudy
59.19,27.37,1,1012,Rainy
59.62,27.23,1,1012,Rainy
62.81,27.56,0,1016,Cloudy
64.12,27.99,0,1013,Cloudy
62.38,28.01,0,1013,Cloudy
65.19,28.37,0,1014,Cloudy
60.5,28.51,0,1014,Cloudy
60.62,28.22,0,1012,Cloudy
59.56,28.45,0,1012,Cloudy
60.88,28.66,0,1014,Cloudy
62.81,28.76,0,1012,Cloudy
54.62,28.95,0,1015,Cloudy
55.81,28.68,0,1015,Cloudy
59.88,28.51,0,1016,Cloudy
57.81,29.26,0,1012,Cloudy
55.12,29.15,0,1016,Cloudy
52.94,29.11,0,1015,Cloudy
55.75,28.45,0,1014,Cloudy
58.56,28.62,0,1013,Cloudy
58.94,28.61,0,1016,Cloudy
60.31,29.19,0,1013,Cloudy
75.94,27.42,1,1015,Rainy
74.69,27.65,0,1010,Cloudy
77.19,28.01,0,1016,Cloudy
70.69,28.8,0,1014,Cloudy
66.75,29.07,0,1010,Cloudy
62.19,29.34,0,1015,Cloudy
63.25,29.87,0,1010,Sunny
64.5,29.42,0,1014,Cloudy
67.25,28.46,0,1012,Cloudy
67.62,28.86,0,1016,Cloudy
68.62,28.58,0,1011,Cloudy
71.12,28.58,0,1012,Cloudy
75.69,27.97,0,1011,Cloudy
79.5,27.43,1,1010,Rainy
70.06,28.63,0,1014,Cloudy
68.12,28.89,0,1014,Cloudy
62.25,29.11,0,1012,Cloudy
67.31,28.65,0,1015,Cloudy
68.5,28.58,0,1015,Cloudy
68.56,28.55,0,1010,Cloudy
62.38,28.85,0,1010,Cloudy
62.56,29.11,0,1016,Cloudy
63.44,29.12,0,1011,Cloudy
64.5,29.29,0,1013,Cloudy
64.25,29.4,0,1011,Cloudy
62.81,29.37,0,1015,Cloudy
60.62,29.46,0,1010,Cloudy
67.25,29.5,0,1011,Sunny
66.25,30.06,0,1016,Sunny
63.38,30.51,0,1010,Sunny
64.69,29.99,0,1015,Sunny
74.75,28.87,0,1013,Cloudy
73.81,28.7,0,1012,Cloudy
74.12,29.01,0,1015,Cloudy
77.69,28.34,0,1013,Cloudy
72.06,29.18,0,1011,Cloudy
68.81,29.58,0,1014,Sunny
65.94,29.57,0,1013,Sunny
67.62,29.57,0,1016,Sunny
65.38,29.58,0,1014,Sunny
69.75,29.3,0,1011,Cloudy
71.44,29.26,0,1012,Cloudy
69.62,29.59,0,1011,Sunny
69.81,29.43,0,1016,Cloudy
67,29.9,0,1014,Sunny
66.81,29.82,0,1012,Sunny
66.5,30.09,0,1011,Sunny
70.12,29.44,0,1013,Cloudy
71.31,29.51,0,1011,Sunny
71.38,29.73,0,1012,Sunny
75.06,29.19,0,1013,Cloudy
73.44,29.61,0,1011,Sunny
73,29.37,0,1012,Cloudy
69.5,29.72,0,1015,Sunny
69.38,29.78,0,1016,Sunny
69.81,29.87,0,1013,Sunny
70.44,29.91,0,1013,Sunny
71.12,29.92,0,1013,Sunny
69.69,30.08,0,1012,Sunny
69.5,30.03,0,1012,Sunny
70.75,29.82,0,1013,Sunny
71.56,30.15,0,1014,Sunny
75.19,29.48,0,1012,Cloudy
71,29.72,0,1013,Sunny
70.5,29.97,0,1011,Sunny
68.5,30.62,0,1014,Sunny
69.94,30.28,0,1014,Sunny
72.38,29.65,0,1010,Sunny
72.94,29.55,0,1012,Sunny
71.44,29.74,0,1011,Sunny
70,29.79,0,1016,Sunny
69.19,29.66,0,1013,Sunny
65.5,29.93,0,1010,Sunny
66.56,29.73,0,1012,Sunny
69.38,29.3,0,1010,Cloudy
67.5,29.31,0,1016,Cloudy
70.25,29.59,0,1016,Sunny
69.94,30.03,0,1012,Sunny
73.88,29.55,0,1010,Sunny
70.12,29.98,0,1011,Sunny
72.75,29.48,0,1014,Cloudy
72.31,29.98,0,1015,Sunny
76.81,29.62,0,1015,Sunny
80.06,29.67,0,1011,Sunny
81.69,29.16,0,1013,Cloudy
81.94,28.74,0,1015,Cloudy
82.25,28.87,0,1013,Cloudy
81.75,29.37,0,1010,Cloudy
76.94,28.9,0,1016,Cloudy
81.44,29.43,0,1012,Cloudy
80.5,29.11,0,1013,Cloudy
78.31,29.35,0,1012,Cloudy
77.94,29.58,0,1011,Sunny
78.38,29.87,0,1016,Sunny
80.56,29.5,0,1012,Sunny
80.5,28.69,0,1013,Cloudy
77.75,28.28,0,1013,Cloudy
76.31,28.77,0,1012,Cloudy
73,29.34,0,1010,Cloudy
71.19,29.13,0,1013,Cloudy
72.56,29.23,0,1011,Cloudy
73.25,29.21,0,1011,Cloudy
76.06,29.68,0,1016,Sunny
79.88,29.3,0,1014,Cloudy
71.62,29.09,0,1013,Cloudy
79.81,28.75,0,1011,Cloudy
80.19,28.94,0,1011,Cloudy
81.25,28.87,0,1015,Cloudy
79.62,28.88,0,1015,Cloudy
79.44,28.07,0,1016,Cloudy
81.75,27.69,0,1015,Cloudy
82.19,27.83,0,1011,Cloudy
80.75,28.24,0,1012,Cloudy
79.88,28.26,0,1016,Cloudy
82.88,27.24,1,1016,Rainy
76.5,28.22,0,1015,Cloudy
81.31,27.37,1,1012,Rainy
81.62,27.69,0,1016,Cloudy
79.62,28.23,0,1010,Cloudy
83.38,28.15,0,1012,Cloudy
80,28.29,0,1014,Cloudy
82.5,27.77,0,1015,Cloudy
83.69,27.08,1,1012,Rainy
85.5,27.43,1,1010,Rainy
83.12,27.85,0,1014,Cloudy
86.25,27.66,0,1013,Cloudy
83.81,27.28,1,1015,Rainy
88.25,27.29,1,1015,Rainy
88.25,27.62,0,1012,Cloudy
88.81,27.43,1,1014,Rainy
90.06,27.09,1,1013,Rainy
89.75,26.51,1,1010,Rainy
90.62,26.47,1,1014,Rainy
89.44,26.37,1,1014,Rainy
90.44,26.27,1,1010,Rainy
90.31,26.24,1,1014,Rainy
88.25,26.33,1,1014,Rainy
89.62,26.72,1,1016,Rainy
88.06,27.23,1,1014,Rainy
89.12,27.19,1,1016,Rainy
89.44,26.81,1,1012,Rainy
90.25,26.62,1,1015,Rainy
88.25,26.4,1,1013,Rainy
86.69,26.33,1,1016,Rainy
88,26.4,1,1015,Rainy
85.44,26.39,1,1014,Rainy
85.81,26.86,1,1015,Rainy
86.38,26.78,1,1012,Rainy
89.19,26.87,1,1013,Rainy
89.94,26.85,1,1014,Rainy
86.06,26.9,1,1016,Rainy
84.38,26.7,1,1014,Rainy
85.06,26.51,1,1010,Rainy
85,26.47,1,1015,Rainy
85.81,26.27,1,1012,Rainy
85.75,26.42,1,1015,Rainy
86.69,26.15,1,1015,Rainy
88.19,25.97,1,1012,Rainy
90.81,26.1,1,1012,Rainy
88.69,26.27,1,1011,Rainy
87.81,26.12,1,1010,Rainy
89.12,26.19,1,1013,Rainy
86.81,26.34,1,1016,Rainy
87.62,25.94,1,1015,Rainy
88.25,26.05,1,1015,Rainy
89.88,25.67,1,1011,Rainy
90.06,25.91,1,1011,Rainy
90.75,26.32,1,1010,Rainy
87.5,26.32,1,1016,Rainy
91.56,26.01,1,1014,Rainy
89.81,26.17,1,1016,Rainy
88.56,26.01,1,1011,Rainy
88.06,26.3,1,1015,Rainy
86.69,25.68,1,1014,Rainy
89,26.19,1,1016,Rainy
88.94,26.44,1,1016,Rainy
90.44,26.51,1,1016,Rainy
88.69,26.57,1,1015,Rainy
89.38,26.15,1,1016,Rainy
89.5,25.42,1,1014,Rainy
89.31,25.41,1,1013,Rainy
90.12,25.17,1,1014,Rainy
91.38,25.46,1,1014,Rainy
90.62,25.65,1,1011,Rainy
91.19,25.58,1,1015,Rainy
90,26.01,1,1014,Rainy
89.44,26.19,1,1014,Rainy
90.06,26.08,1,1012,Rainy
90.81,25.93,1,1015,Rainy
89.5,26.08,1,1015,Rainy
88.06,26.33,1,1011,Rainy
89.19,26.31,1,1010,Rainy
88.88,26.26,1,1010,Rainy
88,26.33,1,1010,Rainy
85.69,26.51,1,1014,Rainy
87.44,26.41,1,1011,Rainy
87.25,26.47,1,1015,Rainy
86.19,26.58,1,1011,Rainy
86.19,26.62,1,1011,Rainy
86.19,26.61,1,1013,Rainy
84.88,26.8,1,1015,Rainy
86.44,26.83,1,1011,Rainy
87.5,26.87,1,1011,Rainy
85.94,26.57,1,1014,Rainy
88.5,26.55,1,1010,Rainy
89.25,26.49,1,1012,Rainy
91.12,26.35,1,1016,Rainy
89.19,26.31,1,1013,Rainy
87.75,26.47,1,1010,Rainy
88.75,25.82,1,1011,Rainy
80.56,25.86,1,1012,Rainy
81.31,26.38,1,1013,Rainy
82.5,26.51,1,1011,Rainy
86.5,25.88,1,1013,Rainy
82.38,26.18,1,1012,Rainy
81.5,25.83,1,1010,Rainy
82.81,26.26,1,1013,Rainy
82.56,26.57,1,1013,Rainy
83.62,26.78,1,1012,Rainy
85.81,26.52,1,1010,Rainy
84.69,26.78,1,1012,Rainy
85.88,26.9,1,1011,Rainy
88.5,26.86,1,1013,Rainy
88.25,26.37,1,1010,Rainy
86.06,26.51,1,1013,Rainy
88,26.9,1,1016,Rainy
89.38,26.95,1,1011,Rainy
87.88,27.03,1,1011,Rainy
85.69,26.9,1,1014,Rainy
82.75,27.07,1,1011,Rainy
81.94,27.23,1,1010,Rainy
83.25,27.15,1,1011,Rainy
82.38,27.12,1,1010,Rainy
82.38,27.26,1,1011,Rainy
84,26.85,1,1010,Rainy
84.19,26.72,1,1013,Rainy
84.56,26.83,1,1015,Rainy
83.06,27.23,1,1011,Rainy
83.38,27.05,1,1014,Rainy
80.94,26.95,1,1016,Rainy
78.06,26.82,1,1014,Rainy
74.12,26.92,1,1014,Rainy
80.62,27.03,1,1013,Rainy
84.06,27.06,1,1015,Rainy
86.56,27.2,1,1011,Rainy
82.94,26.36,1,1015,Rainy
84.69,26.54,1,1015,Rainy
84.62,26.82,1,1016,Rainy
86,26.58,1,1016,Rainy
83.44,27.58,0,1013,Cloudy
83.56,27.33,1,1011,Rainy
82.69,27.58,0,1012,Cloudy
80.75,27.26,1,1015,Rainy
84.62,25.93,1,1015,Rainy
82.56,26.43,1,1012,Rainy
88.06,25.8,1,1011,Rainy
86.75,25.9,1,1015,Rainy
85.62,26.39,1,1013,Rainy
84.69,27.46,1,1012,Rainy
83.38,27.57,0,1014,Cloudy
80.25,27.6,0,1010,Cloudy
78.69,27.72,0,1010,Cloudy
76.94,27.54,0,1013,Cloudy
77.5,27.19,1,1013,Rainy
76.19,27.15,1,1014,Rainy
73.5,27.31,1,1012,Rainy
76.44,27.63,0,1011,Cloudy
81.62,27.24,1,1013,Rainy
82.81,27.05,1,1016,Rainy
81.19,27.66,0,1012,Cloudy
79.69,27.69,0,1012,Cloudy
74.88,27.5,0,1014,Cloudy
77.19,27.27,1,1010,Rainy
75.38,28.33,0,1014,Cloudy
75.56,27.86,0,1012,Cloudy
79.62,27.44,1,1013,Rainy
69.69,28.62,0,1010,Cloudy
73.19,28.39,0,1012,Cloudy
81.38,27.01,1,1014,Rainy
82.5,27.1,1,1012,Rainy
81.38,27.1,1,1016,Rainy
80.06,27.05,1,1013,Rainy
75.12,27.71,0,1011,Cloudy
71.94,27.82,0,1014,Cloudy
80.5,27.01,1,1011,Rainy
75.25,27.64,0,1014,Cloudy
78.75,27.44,1,1011,Rainy
78.62,27.62,0,1011,Cloudy
81,27.37,1,1014,Rainy
84.19,26.68,1,1012,Rainy
76.06,27.53,0,1014,Cloudy
79.56,26.71,1,1012,Rainy
76.19,27.23,1,1010,Rainy
85.56,26.56,1,1013,Rainy
81.19,26.98,1,1016,Rainy
83.31,26.58,1,1010,Rainy
72.94,27.97,0,1012,Cloudy
68.56,28.07,0,1011,Cloudy
73.62,28.01,0,1015,Cloudy
72.06,27.55,0,1014,Cloudy
68.56,27.69,0,1011,Cloudy
71.38,27.45,1,1016,Rainy
70.44,27.8,0,1011,Cloudy
70.38,28.07,0,1016,Cloudy
65.31,28.51,0,1012,Cloudy
67.12,28.41,0,1010,Cloudy
71.31,27.8,0,1016,Cloudy
75.06,27.58,0,1014,Cloudy
71.19,27.64,0,1014,Cloudy
69,28.01,0,1013,Cloudy
81.44,27.31,1,1011,Rainy
72.94,27.87,0,1010,Cloudy
80.38,27.3,1,1016,Rainy
73.75,27.43,1,1010,Rainy
61.81,26.94,1,1014,Rainy
63.62,26.57,1,1015,Rainy
63.94,27.69,0,1013,Cloudy
71.25,27.37,1,1016,Rainy
68.5,27.86,0,1014,Cloudy
67.75,27.69,0,1012,Cloudy
62.88,26.93,1,1016,Rainy
70.12,26.87,1,1010,Rainy
68.62,27.48,1,1016,Rainy
64.31,27.16,1,1013,Rainy
64.62,26.85,1,1011,Rainy
59.94,26.96,1,1015,Rainy
65.62,26.88,1,1016,Rainy
60.75,27.01,1,1015,Rainy
61.31,26.92,1,1014,Rainy
64.62,26.77,1,1016,Rainy
65.31,26.59,1,1016,Rainy
65.06,27.26,1,1016,Rainy
67.56,27.62,0,1011,Cloudy
68.12,27.41,1,1011,Rainy
68.94,27.67,0,1014,Cloudy
69,27.85,0,1013,Cloudy
70.25,27.8,0,1010,Cloudy
71.56,27.88,0,1011,Cloudy
70.5,27.42,1,1016,Rainy
68.38,27.46,1,1011,Rainy
68.25,27.62,0,1010,Cloudy
63.12,28,0,1010,Cloudy
67.94,28.01,0,1016,Cloudy
68.44,27.83,0,1014,Cloudy
67.94,28.19,0,1013,Cloudy
74.31,27.21,1,1012,Rainy
69.06,27.86,0,1012,Cloudy
62.25,27.87,0,1012,Cloudy
64.19,28.35,0,1013,Cloudy
60.31,28.27,0,1014,Cloudy
62.5,27.86,0,1014,Cloudy
63.81,27.98,0,1016,Cloudy
65.62,28.01,0,1016,Cloudy
65.31,28.15,0,1011,Cloudy
58.5,28.45,0,1013,Cloudy
58.25,27.49,1,1011,Rainy
57.94,27.51,0,1012,Cloudy
